lnge_iso,question_key,pro_score
pt,E069_18A,0.46092172054957825
da,E114,0.21037432448649246
nl,F114A,0.03321755750258981
nl,E264,0.9107314857515767
pt,E069_13,0.5559835803204843
pt,E069_17,0.52148014421543
en,E027,0.1896540028863653
en,E265_04,0.402840969204208
nl,E033,0.5038262946116576
nl,E037,0.509379700444709
da,E069_08,0.547989503354813
nl,F063,0.32804794189994146
en,E069_13,0.3709582740806836
da,E003,0.6752775334746286
da,F028,0.3192291746039695
pt,F120,0.12967055128098204
nl,E236,0.840944418032227
en,E069_14,0.5740597142852114
nl,E004,0.48384243391823395
pt,E265_03,0.7588490311817712
da,E069_02,0.7587331869063387
pt,E001,0.5761941938125662
nl,D060,0.036555435824205874
en,E115,0.5631965150918439
pt,E003,0.6451178993233332
pt,F119,0.19352159669927377
en,E069_07,0.22394049897760498
da,E069_04,0.27089213322932826
pt,E117,0.880935328900437
pt,E069_14,0.6278229522585532
en,E069_18A,0.40156810119439557
pt,E265_07,0.8053018426859285
nl,E069_05,0.46103127847100883
pt,E263,0.8803082434485093
nl,E111_01,0.6378835339626384
da,F119,0.30364482739511317
en,D078,0.1896486990955762
pt,C041,0.5024675987772319
nl,H011,0.3027244291752469
en,C038,0.5129260814082758
pt,E069_20,0.5188581297987098
en,E265_01,0.7558874531327185
da,E111_01,0.7836181247429128
nl,H010,0.29280225046034053
da,E265_08,0.013680591114669011
da,H010,0.232392651881909
nl,E023,0.5808313738957207
en,C002_01,0.44752411014328414
en,C041,0.3600788066009299
en,H011,0.324078633908826
en,E033,0.40009408928394935
en,D026_03,0.23423238888346332
da,C039,0.7767965372083256
pt,E015,0.35665947194140263
da,F115,0.062488278516549846
en,E025,0.5542972364768295
nl,E069_14,0.5195428951157942
pt,D026_05,0.8389073005111171
nl,D026_03,0.03442058774559366
pt,E114,0.6502968073412418
da,C002,0.3562599235978475
en,E069_08,0.45488848301364887
nl,F144_02,0.2501515389823547
nl,F115,0.08419009425356289
da,H011,0.2713971063429359
nl,F120,0.7546969394983156
nl,C001_01,0.04187387783640484
pt,E265_05,0.5892883646737288
da,D078,0.11779758209569136
en,E111_01,0.372767841483807
da,E265_05,0.7673430609693674
da,E236,0.9364546636764998
da,F123,0.23429124578413463
en,C001,0.14430202667601966
da,E037,0.30212584474017107
en,E265_05,0.5229812668139974
en,E037,0.5539633012533639
nl,E265_02,0.17798234011618771
pt,E069_06,0.5621927746564924
da,E265_06,0.927446798922549
nl,E069_13,0.3469628331514899
en,E069_12,0.15082955758956196
da,E026,0.19364414992808077
en,E265_08,0.26087159950129907
da,C041,0.45157861483304496
nl,E039,0.31774734431257007
pt,E069_05,0.35932648346609847
en,F122,0.44228946327437807
pt,E002,0.5325949795390952
nl,E069_02,0.6036363677053496
nl,F122,0.8017194198494496
pt,E069_02,0.6420312917629127
da,F117,0.006902198054383068
nl,E265_05,0.7362158882953972
nl,H009,0.730066092456943
nl,D054,0.5560783746838327
en,E069_06,0.615827321078118
nl,F118,0.8920426797223556
en,F119,0.2231795384229061
da,F063,0.21722097818483055
pt,E069_18,0.6520723817685209
da,D001_B,0.9960695182644966
da,F144_02,0.23700899467520253
en,E069_18,0.36831277526283546
en,E015,0.3297787424442918
pt,E025,0.4783264506257669
da,E117,0.9691991881585476
pt,E111_01,0.1475910026325319
nl,E115,0.5416791628981019
en,D060,0.11595178816678074
nl,E233B,0.2796969495559902
en,E069_11,0.3342787030731499
en,E069_17,0.5620343634236976
da,E235,0.9718771232372833
pt,E233B,0.3812120739791378
nl,C038,0.3761500100533381
en,H009,0.7066573483803603
pt,F114A,0.12330761414247686
en,F116,0.06811294774719308
pt,E026,0.07707989907946092
da,E015,0.42092514992988467
pt,E265_06,0.5082298043615258
en,E265_06,0.6845147897324328
en,E233A,0.32255494851698974
nl,E114,0.35559283798471214
pt,F144_02,0.31667327019725267
da,E069_20,0.6973524590826462
en,E263,0.8011139582218275
da,E069_07,0.46894022071799873
pt,E116,0.43121130353101933
nl,D059,0.10120939505572099
en,E233B,0.4999167463081062
pt,E236,0.25467288125318416
da,D061,0.08963491901857153
nl,E001,0.4772650868465443
en,E265_02,0.3311264603874986
pt,E037,0.7407269878876824
da,C001,0.022292920119495595
da,C002_01,0.3562599235978475
nl,F132,0.5851976689233103
en,E002,0.6617656003738125
nl,C001,0.04187387783640484
en,D059,0.23646457864665127
pt,C001_01,0.1788680928984525
da,D059,0.08705689095645452
pt,D081,0.5538688687707455
da,E002,0.42517871902106646
en,F063,0.6318880519733253
nl,F123,0.44583003552677564
pt,D054,0.9130189073386865
nl,E263,0.8640154677005831
pt,F123,0.09079102158913349
nl,E069_04,0.35074252421900337
pt,E265_02,0.35865138169647537
da,E264,0.9085893360848256
nl,F116,0.05571061126339152
nl,C002,0.3677039658485137
pt,H010,0.24092989456479688
da,D026_03,0.1413911827319074
pt,D060,0.09535560856123475
pt,D061,0.547160463398391
nl,C039,0.5730036862861869
da,H009,0.8148937121951882
da,C038,0.5988086918976965
da,E265_02,0.07775796387764962
nl,E069_17,0.6298325140137746
pt,E290,0.04970543912439796
pt,E033,0.3467082292221492
pt,F063,0.8822891344825131
nl,E265_08,0.026247179026271206
nl,E069_18,0.3750896660272781
da,E001,0.43322467623557526
nl,E290,0.03606552555601431
pt,C001,0.1879697449991917
nl,E117,0.9549914861047645
pt,F116,0.17696884581962538
nl,E069_11,0.3952836640664518
da,E233A,0.5027664029422978
nl,D081,0.7266457846637381
da,E115,0.39925611354891205
en,D081,0.48913389140392544
en,E069_04,0.31371177806261774
da,E263,0.9326951832026483
en,E265_07,0.6144516071563043
en,E035,0.4899199073929793
nl,E015,0.34146025933047874
da,E025,0.5317607017690518
pt,E235,0.801485505361981
en,E069_05,0.3608670968034137
pt,E264,0.8726520705882879
nl,D078,0.09218071713502753
en,F132,0.4303619290947208
da,F118,0.878688959667896
pt,E069_08,0.49901671855087426
en,E003,0.5987442409579026
en,F121,0.5513908977485813
pt,E004,0.47456751074366926
en,E236,0.6069836339072535
da,E039,0.13211993911652697
da,F121,0.8789167457137034
pt,F118,0.3846350532558657
en,F120,0.3920722689126726
da,E033,0.3917291110496493
pt,E069_12,0.14082863126225226
da,E023,0.5924978776841814
en,D001_B,0.9419518735239402
pt,E023,0.39067667225330766
pt,E265_04,0.8052884844303568
da,E018,0.6335790834734087
nl,E069_01,0.23630030332416613
en,D026_05,0.4874292507039558
pt,F117,0.04961487581538774
en,E026,0.18240083435274998
da,F116,0.025970385269916064
en,E290,0.0687933565516247
nl,E035,0.48574317844271847
en,C001_01,0.1161495967713489
pt,F122,0.21881107719068016
da,C001_01,0.022292920119495595
pt,C039,0.6251613988238058
da,E069_11,0.39656822160258254
en,E036,0.30058240659278096
nl,E036,0.45274649065027855
da,E265_04,0.10037448766673925
en,E264,0.8299849318430135
da,E265_03,0.34569116837305763
da,D060,0.021924259849462096
en,F028,0.5014856247148118
